"person_code";"person_name";"person_phone";"JAN";"FEV";"MAR";"ABR";"MAI";"JUN";"JUL";"AGO";"SET";"OUT";"NOV";"DEZ";"EXT"
"6862";"Dr. Franco Assunção Filho";"(93) 2246-2233";"X";"";"";"";"";"";"";"";"";"";"";"";""
"6862";"Dr. Franco Assunção Filho";"(93) 2246-2233";"";"X";"";"";"";"";"";"";"";"";"";"";""
"6862";"Dr. Franco Assunção Filho";"(93) 2246-2233";"";"";"X";"";"";"";"";"";"";"";"";"";""
"6862";"Dr. Franco Assunção Filho";"(93) 2246-2233";"";"";"";"X";"";"";"";"";"";"";"";"";""
"6862";"Dr. Franco Assunção Filho";"(93) 2246-2233";"";"";"";"";"X";"";"";"";"";"";"";"";""
"6862";"Dr. Franco Assunção Filho";"(93) 2246-2233";"";"";"";"";"";"X";"";"";"";"";"";"";""
"6862";"Dr. Franco Assunção Filho";"(93) 2246-2233";"";"";"";"";"";"";"X";"";"";"";"";"";""
"6862";"Dr. Franco Assunção Filho";"(93) 2246-2233";"";"";"";"";"";"";"";"X";"";"";"";"";""
"6862";"Dr. Franco Assunção Filho";"(93) 2246-2233";"";"";"";"";"";"";"";"";"X";"";"";"";""
"6862";"Dr. Franco Assunção Filho";"(93) 2246-2233";"";"";"";"";"";"";"";"";"";"X";"";"";""
"6862";"Dr. Franco Assunção Filho";"(93) 2246-2233";"";"";"";"";"";"";"";"";"";"";"X";"";""
"6862";"Dr. Franco Assunção Filho";"(93) 2246-2233";"";"";"";"";"";"";"";"";"";"";"";"X";""
"6862";"Dr. Franco Assunção Filho";"(93) 2246-2233";"";"";"";"";"";"";"";"";"";"";"";"";"X"
"8063";"Dr. Matias Mateus D'ávila";"(55) 2538-5932";"X";"";"";"";"";"";"";"";"";"";"";"";""
"8063";"Dr. Matias Mateus D'ávila";"(55) 2538-5932";"";"X";"";"";"";"";"";"";"";"";"";"";""
"8063";"Dr. Matias Mateus D'ávila";"(55) 2538-5932";"";"";"X";"";"";"";"";"";"";"";"";"";""
"8063";"Dr. Matias Mateus D'ávila";"(55) 2538-5932";"";"";"";"X";"";"";"";"";"";"";"";"";""
"8063";"Dr. Matias Mateus D'ávila";"(55) 2538-5932";"";"";"";"";"X";"";"";"";"";"";"";"";""
"8063";"Dr. Matias Mateus D'ávila";"(55) 2538-5932";"";"";"";"";"";"X";"";"";"";"";"";"";""
"8063";"Dr. Matias Mateus D'ávila";"(55) 2538-5932";"";"";"";"";"";"";"X";"";"";"";"";"";""
"8063";"Dr. Matias Mateus D'ávila";"(55) 2538-5932";"";"";"";"";"";"";"";"X";"";"";"";"";""
"8063";"Dr. Matias Mateus D'ávila";"(55) 2538-5932";"";"";"";"";"";"";"";"";"X";"";"";"";""
"8063";"Dr. Matias Mateus D'ávila";"(55) 2538-5932";"";"";"";"";"";"";"";"";"";"X";"";"";""
"8063";"Dr. Matias Mateus D'ávila";"(55) 2538-5932";"";"";"";"";"";"";"";"";"";"";"X";"";""
"8063";"Dr. Matias Mateus D'ávila";"(55) 2538-5932";"";"";"";"";"";"";"";"";"";"";"";"X";""
"8063";"Dr. Matias Mateus D'ávila";"(55) 2538-5932";"";"";"";"";"";"";"";"";"";"";"";"";"X"
"3260";"Srta. Ornela Mendonça Sobrinho";"(28) 98491-2235";"X";"";"";"";"";"";"";"";"";"";"";"";""
"3260";"Srta. Ornela Mendonça Sobrinho";"(28) 98491-2235";"";"X";"";"";"";"";"";"";"";"";"";"";""
"3260";"Srta. Ornela Mendonça Sobrinho";"(28) 98491-2235";"";"";"X";"";"";"";"";"";"";"";"";"";""
"3260";"Srta. Ornela Mendonça Sobrinho";"(28) 98491-2235";"";"";"";"X";"";"";"";"";"";"";"";"";""
"3260";"Srta. Ornela Mendonça Sobrinho";"(28) 98491-2235";"";"";"";"";"X";"";"";"";"";"";"";"";""
"3260";"Srta. Ornela Mendonça Sobrinho";"(28) 98491-2235";"";"";"";"";"";"X";"";"";"";"";"";"";""
"3260";"Srta. Ornela Mendonça Sobrinho";"(28) 98491-2235";"";"";"";"";"";"";"X";"";"";"";"";"";""
"3260";"Srta. Ornela Mendonça Sobrinho";"(28) 98491-2235";"";"";"";"";"";"";"";"X";"";"";"";"";""
"3260";"Srta. Ornela Mendonça Sobrinho";"(28) 98491-2235";"";"";"";"";"";"";"";"";"X";"";"";"";""
"3260";"Srta. Ornela Mendonça Sobrinho";"(28) 98491-2235";"";"";"";"";"";"";"";"";"";"X";"";"";""
"3260";"Srta. Ornela Mendonça Sobrinho";"(28) 98491-2235";"";"";"";"";"";"";"";"";"";"";"X";"";""
"3260";"Srta. Ornela Mendonça Sobrinho";"(28) 98491-2235";"";"";"";"";"";"";"";"";"";"";"";"X";""
"3260";"Srta. Ornela Mendonça Sobrinho";"(28) 98491-2235";"";"";"";"";"";"";"";"";"";"";"";"";"X"
"9508";"Luana Valentina Rios Neto";"(68) 2436-1950";"X";"";"";"";"";"";"";"";"";"";"";"";""
"9508";"Luana Valentina Rios Neto";"(68) 2436-1950";"";"X";"";"";"";"";"";"";"";"";"";"";""
"9508";"Luana Valentina Rios Neto";"(68) 2436-1950";"";"";"X";"";"";"";"";"";"";"";"";"";""
"9508";"Luana Valentina Rios Neto";"(68) 2436-1950";"";"";"";"X";"";"";"";"";"";"";"";"";""
"9508";"Luana Valentina Rios Neto";"(68) 2436-1950";"";"";"";"";"X";"";"";"";"";"";"";"";""
"9508";"Luana Valentina Rios Neto";"(68) 2436-1950";"";"";"";"";"";"X";"";"";"";"";"";"";""
"9508";"Luana Valentina Rios Neto";"(68) 2436-1950";"";"";"";"";"";"";"X";"";"";"";"";"";""
"9508";"Luana Valentina Rios Neto";"(68) 2436-1950";"";"";"";"";"";"";"";"X";"";"";"";"";""
"9508";"Luana Valentina Rios Neto";"(68) 2436-1950";"";"";"";"";"";"";"";"";"X";"";"";"";""
"9508";"Luana Valentina Rios Neto";"(68) 2436-1950";"";"";"";"";"";"";"";"";"";"X";"";"";""
"9508";"Luana Valentina Rios Neto";"(68) 2436-1950";"";"";"";"";"";"";"";"";"";"";"X";"";""
"9508";"Luana Valentina Rios Neto";"(68) 2436-1950";"";"";"";"";"";"";"";"";"";"";"";"X";""
"9508";"Luana Valentina Rios Neto";"(68) 2436-1950";"";"";"";"";"";"";"";"";"";"";"";"";"X"
"7720";"Sr. Aaron Francisco Delatorre";"(61) 2877-4428";"X";"";"";"";"";"";"";"";"";"";"";"";""
"7720";"Sr. Aaron Francisco Delatorre";"(61) 2877-4428";"";"X";"";"";"";"";"";"";"";"";"";"";""
"7720";"Sr. Aaron Francisco Delatorre";"(61) 2877-4428";"";"";"X";"";"";"";"";"";"";"";"";"";""
"7720";"Sr. Aaron Francisco Delatorre";"(61) 2877-4428";"";"";"";"X";"";"";"";"";"";"";"";"";""
"7720";"Sr. Aaron Francisco Delatorre";"(61) 2877-4428";"";"";"";"";"X";"";"";"";"";"";"";"";""
